Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01216125
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01976013
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03355408
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04351807
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1103592
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1781349
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04428482
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1110954
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04465866
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02129364
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1568069
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0435257
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04499435
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03323746
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05037689
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,6100693
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04505539
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02316666
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02289581
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03281403
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,8763809
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02380371
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01177979
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04393768
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06668854
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,6337204
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0335083
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02296448
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1552887
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2885208
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,133812
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,08805084
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06572723
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04360199
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04371643
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,155426
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1232147
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0658493
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06590271
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0471344
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1244049
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05518341
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,455505
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02213287
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,5329742
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02199554
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06787872
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04488373
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 2,985313
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05697632
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01087189
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06658173
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01127625
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,08901215
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1785736
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07039642
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1550369
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02246857
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1329041
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05515289
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1535568
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07826996
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,4827423
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02200317
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,5084152
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,3561554
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0561142
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07723999
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,3349838
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,3115921
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,4257278
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02104187
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2431259
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,08914948
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06421661
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04730988
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,334198
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02474976
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0331192
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,621201
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2084961
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05329895
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01127625
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,3880768
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,3119888
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07717133
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03286743
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,8353577
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0331955
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02287292
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05722046
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03452301
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06677246
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,6107254
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2008209
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02122498
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,312103
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03123474
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2101364
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,204529
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05451965
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1330872
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06410217
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0894928
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,465561
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02325439
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06724548
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04394531
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07078552
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2779236
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,02368927
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2443466
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03430176
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0424881
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,05495453
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04612732
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1112213
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0521698
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04514313
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,09941864
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04504395
